Practice,Report Name,Doctor,Salesperson,Account Setup Date,Street Address,City,State,Zip Code,Office Manager/Contact,Phone,Fax,Notes
Advanced Pain Care,Advanced Pain,"Dennison, Jones ",Maria Giacobbe,4/24/16,112 S Nikki View Dr,Brandon,FL,33511,"Vivian, Nicole",813-876-7600,813-438-5906,
Advanced Surgical Institute (ASI),,James Nassiri,Myhanh Nguyen,9/8/17,,,,,,,,
Alexander Orthopedic Associates,,Lubin,Maria Giacobbe,2/2/17,,,,,,,,
ARC,ARC,Anderson,Maria Giacobbe,4/14/17,13719 N Nebraska Ave Suite 101,Tampa,FL,33613,Scott Anderson,813-978-1300,813-345-8700,Portal Results Only
Bain Complete Wellness,Bain,Ramirez,Maria Giacobbe,10/3/16,,,,,,,,
Bee Ridge Family Practice ,Bee Ridge Family,Steven Gupta ,Nick Ribaudo ,1/26/2018,4541 Bee Ridge Road ,Sarasota ,FL ,34233,Tammi ,941-371-9355,941-379-8825,
Behavioral Connections ,Behavioral Connect,Christine Ellis ,,1/21/2018,1010 North Prospect Street ,Bowling Green ,OH ,43402,,419-352-5387,,
Bharminder Bedi ,,Bharminder Bedi ,Jessica ,2/1/2018,11814-B 56th St. N ,Tampa,FL ,33617,Tonya Leek ,813-985-7100,813-985-2288,
Christ Medical Center,Christ Medical,Tawfik,Kayla Hall,9/20/17,,,,,,,,
Convenient Medical,Convenient Med,Patwari,Maria Giacobbe,6/1/17,,,,,,,,
CRPM (Centers of Rehabilitation & Pain Medicine) ,,Albert Lai ,Myhanh Nguyen,1/19/2018,1041 E. Yorba Linda Blvd Suite 210 ,Placentia ,CA,92870,Kathy Martinez ,714-223-7000,714-223-7001,
Dean Medical Inc,Dean Medical,Byron Dean,Amy Crawford,9/19/17,,,,,,,,
Desert Pain Specialist ,Desert Pain,Albert Lai ,Myhanh Nguyen,1/19/2018,72780 County Club Drive Suite C-300,Rancho Mirage ,CA,92270,Kathy Martinez ,760-341-5550,760-341-6050,
Devlac Hall-Bowling Green ,,Steven Dood,Jong Bae ,1/31/2018,1033 Devlac Grove ,Bowling Green ,OH ,43402,,419-352-6460 x 3208,419-352-3407,
Dr Jay’s Urgent Care,Dr. Jay's Urgent,Burke Jackson,Kayla Hall,9/18/17,,,,,,,,
Elite Pain Specialist - Spring Hill,Elite,"Isenalumhe, Egas ",Maria Giacobbe,8/3/17,11151 Spring Hill Dr,Spring Hill,FL,34609,Lisa,352-515-0025,352-515-0174,
Family Medical Center ,Family Medical,"Garay-Guevara, Griggs, Wagner ",Amy Crawford,1/22/2018,4316 US Hwy 98 N ,Lakeland ,FL ,33809,Tomas ,863-853-7822,863-853-2335,
Gulf Coast Medical,Gulf Coast,"Baga, Walsh, Gutierrez, Holguin, Sallapudi, Fraser, Mascola, Reddy, Whapshare, Rogers, Aguila ",Maria Giacobbe,,,,,,,,,
Gulf Coast Medical Group,Gulf Coast Med,"Baga, Walsh, Gutierrez, Holguin, Sallapudi, Fraser, Mascola, Reddy, Whapshare, Rogers, Aguila ",Maria Giacobbe,6/28/17,1720 E Venice Ave,Venice,FL,34292,Natalie Maye,844-366-9362,941-483-9715,
Harbor Behavioral Health,Harbor Behavorial,Ellis,,,,,,,,,,
Inner Balance,Inner Balance,Hinds,David Brown,,,,,,,,,
Inner Balance Family Medicine,Inner Bal,Hinds,David Brown,7/12/17,1846 SE Port St Lucie Blvd,Port St Lucie,FL,34952,Leslie Wells,772-249-0636,772-249-0851,Will drop off samples at UPS box
Institute of Cardiovascular,,Qamar,Kayla Hall,9/20/17,,,,,,,,
Kevin Trinh,Dr. Kevin Trinh,Kevin Trinh,Myhanh Nguyen,8/28/17,,,,,,,,
MediClinic,Medi Clinic,"Genovese, Bireddy",Maria Giacobbe,,,,,,,,,
MediClinics,Mediclinic Primary,"Genovese, Bireddy",Maria Giacobbe,6/30/17,502 S Macdill Ave,Tampa,FL,33609,Lisa Genovese,813-877-5111,813-877-1222,
Neuro Assisted Recovery ,Neuro Assisted,Dorothy Izmirlian ,Nick Ribaudo,1/24/18,"3920 Bee Ridge Road Building D, Unit 101 ",Sarasota ,FL ,34233,Alicia,941-330-2929,941-921-2929,
Neurological Associates of West LA,Neurological Assoc.,"Chang, O’Conner, Jordan ",Jason Burke,2/1/17,,,,,,,,
New Tampa Interventional Pain & Sports Medicine ,New Tampa,De La Torre,Joe King ,,2014 Ashley Oaks Cir,Wesley Chapel,FL ,33544,Stephanie ,813-999-3030,813-333-0453,
OP Medical,O.P. Medical,"Spencer, Picchiello",David Brown,6/30/17,,,,,,,,
Orange County Pain,,"Rubin, Shah, Downs ",Myhanh Nguyen,6/7/16,455 Old Newport Blvd Suite 101,Newport Beach,CA,92663,Michael,949-933-7012,949-387-3380,
Pacific Comprehensive Pain,Pacific Comp,Chou,Myhanh Nguyen,8/28/17,3851 Katella Ave Suite 301,,,,,,,
Pain Medicine Inc.,,Khan,Amy Crawford,6/6/17,,,,,,,,
Palm Tree International Pain Management,,Song,Amy Crawford,8/8/17,2029 Hickory Tree Rd,St Cloud,FL,34772,,407-906-1328,407-593-8452,
"Parag Pitroda, MD ",,Pitroda,Amy Crawford,8/8/17,,,,,,,,
"Paul Kostomo, MD ",,Kostomo,Maria Giacobbe,6/14/17,2191 9th Ave N Suite 235,St Petersburg,FL,33713,,,,
Rick Simovitz ,Dr. Rick Simovitz,Rick Simovitz ,Nick Ribaudo ,1/18/2018,722 The Rialto ,Venice ,FL ,34285,Judy ,941-484-8792,941-488-3981,
SunLake Medical,,Lograno,Maria Giacobbe,11/16/16,,,,,,,,
Thomas Rice Health Center ,,Thomas Rice,Jong Bae ,1/18/2018,2718 River Road ,Maumee ,OH ,43537,,419-494-6046,419-893-7039,
Toledo Comprehensive Center for Pain Management ,Toledo Comp.,"Moghal, Escobar, James, Short, Weiss, Kroncke, Martin, Wenzke, Wonnel-Chrismar",Jong Bae ,1/17/2018,3400 Meijer Drive ,Toledo ,OH ,43617,,567-455-5403,567-455-5406,
University Pain Management,University Pain,Chowdhari,Maria Giacobbe,9/1/16,,,,,,,,
Vida Health & Wellness Center,Vida,Cabrera,Nick Ribaudo,,,,,,,,,
West Side Pain Specialists,,James Nassiri,Myhanh Nguyen,9/8/17,,,,,,,,
Bayview Medical,Bayview Medical,"Arias, Carlos",Nick Ribaudo,,,,,,,,,
Dr. Joseph Millin,Dr. Joseph Millin,"Foster, Jacquelin",Nick Ribaudo,,,,,,,,,
Keti Med Cntr,Keti Med Cntr,Swain,Kayla Hall,,,,,,,,,
Rainbow River Medical,,"Carameros, Clevinger",Kayla Hall,,,,,,,,,
Manatee Mental Health,,"Fabisiak, Hess, Letourneau",Nick Ribaudo,,,,,,,,,
First Harbour Medical Centers,,"Hanusa, Laurent, Lopez, Sequeda",Nick Ribaudo,,,,,,,,,
Premier Choice Medical,,Maltbia,Devin Faxon,,,,,,,,,
NP Family Practice,,"Phillips, Hinds",David Brown,,,,,,,,,
,,Benni,Joe King ,,,,,,,,,
CS & MS Internal Medicine,,Krishna,Devin Faxon,,,,,,,,,
